Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
75265,75265:  T-16 Skyhopper vs Bantha Microfighters,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$19.99, €19.49 | More",~€21.79,~€16.77,✭✭✭✭✩ 3.8 340 ratings 5 reviews Brickset review
75266,75266:  Sith Troopers Battle Pack,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$14.99, €14.99 | More",~€18.36,~€11.71,✭✭✭✭✩ 3.7 743 ratings 11 reviews Brickset review
75267,75267:  Mandalorian Battle Pack,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$14.99, €14.99 | More",~€19.90,~€14.93,✭✭✭✭✩ 4.1 1507 ratings 16 reviews Brickset review
75268,75268:  Snowspeeder,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$19.99, €19.99 | More",~€22.90,~€14.11,✭✭✭✭✩ 3.3 194 ratings 1 review Brickset review
75269,75269:  Duel on Mustafar,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$19.99, €24.99 | More",~€40.80,~€28.64,✭✭✭✭✩ 3.8 638 ratings 9 reviews Brickset review
75270,75270:  Obi-Wan's Hut,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$29.99, €29.99 | More",~€33.97,~€27.02,✭✭✭✭✩ 3.9 731 ratings 4 reviews Brickset review
75271,75271:  Luke Skywalker's Landspeeder,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$29.99, €29.99 | More",~€37.28,~€27.68,✭✭✭✭✩ 3.8 496 ratings 5 reviews Brickset review
75272,75272:  Sith TIE Fighter,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$79.99, €69.99 | More",~€55.27,~€41.87,✭✭✭✭✩ 3.7 287 ratings 5 reviews Brickset review
75273,75273:  Poe Dameron's X-wing Fighter,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$89.99, €99.99 | More",~€79.98,~€53.31,✭✭✭✭✩ 4.2 329 ratings 2 reviews Brickset review
75274,75274:  TIE Fighter Pilot Helmet,19 Apr 2020 - 31 Dec 2021 (1y 8m 12d),"$59.99, €59.99 | More",~€207.55,~€167.51,✭✭✭✭✭ 4.3 377 ratings 5 reviews Brickset review
75275,75275:  A-wing Starfighter,1 May 2020 - 31 Dec 2021 (1y 8m),"$199.99, €199.99 | More",~€238.16,~€173.62,✭✭✭✭✩ 4.2 346 ratings 1 review Brickset review
75276,75276:  Stormtrooper Helmet,19 Apr 2020 - 31 Dec 2021 (1y 8m 12d),"$59.99, €59.99 | More",~€131.36,~€87.09,✭✭✭✭✩ 4.2 428 ratings 3 reviews Brickset review
75277,75277:  Boba Fett Helmet,19 Apr 2020 - 31 Dec 2022 (2y 8m 12d),"$59.99, €59.99 | More",~€72.08,~€47.26,✭✭✭✭✭ 4.3 600 ratings 10 reviews Brickset review
75278,75278:  D-O,19 Apr 2020 - 31 Jul 2021 (1y 3m 11d),"$69.99, €69.99 | More",~€61.98,~€47.43,✭✭✭✭✩ 4.0 196 ratings 1 review Brickset review
75279,75279:  LEGO Star Wars Advent Calendar,1 Sep 2020 - 31 Dec 2020 (3m 29d),"$39.99, €29.23 | More",~€47.74,~€20.87,✭✭✭✭✩ 3.9 315 ratings 1 review
75280,75280:  501st Legion Clone Troopers,1 Aug 2020 - 31 Dec 2022 (2y 4m 29d),"$29.99, €29.99 | More",~€32.79,~€28.19,✭✭✭✭✭ 4.4 1430 ratings 18 reviews Brickset review
75281,75281:  Anakin's Jedi Interceptor,1 Aug 2020 - 31 Dec 2021 (1y 4m 30d),"$29.99, €29.99 | More",~€61.56,~€45.01,✭✭✭✭✩ 4.0 403 ratings 8 reviews Brickset review
