Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
76082,76082:  ATM Heist Battle,1 Jun 2017 - 31 Dec 2018 (1y 6m 30d),"$19.99, €24.99 | More",~€31.59,~€16.88,✭✭✭✭✩ 3.6 267 ratings 1 review Brickset review
76083,76083:  Beware the Vulture,1 Jun 2017 - 31 Dec 2018 (1y 6m 30d),"$39.99, €39.99 | More",~€61.83,~€39.95,✭✭✭✭✩ 4.1 356 ratings 4 reviews Brickset review
76084,76084:  The Ultimate Battle for Asgard,1 Jun 2017 - 31 Jul 2018 (1y 1m 29d),"$49.99, €49.99 | More",~€78.30,~€64.63,✭✭✭✭✩ 3.8 250 ratings 2 reviews Brickset review
76088,76088:  Thor vs. Hulk: Arena Clash,1 Jun 2017 - 31 Jul 2018 (1y 1m 29d),"$59.99, €59.99 | More",~€117.73,~€85.42,✭✭✭✭✩ 3.7 201 ratings 2 reviews Brickset review
76089,76089:  Mighty Micros: Scarlet Spider vs. Sandman,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$9.99, €9.99 | More",~€12.90,~€13.92,✭✭✭✭✩ 3.5 75 ratings 1 review
76090,76090:  Mighty Micros: Star-Lord vs. Nebula,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$9.99, €9.99 | More",~€12.39,~€8.84,✭✭✭✭✩ 3.5 92 ratings 1 review Brickset review
76091,76091:  Mighty Micros: Thor vs. Loki,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$9.99, €9.99 | More",~€16.13,~€6.96,✭✭✭✭✩ 3.5 80 ratings 2 reviews
76099,76099:  Rhino Face-Off by the Mine,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$19.99, €24.99 | More",~€30.95,~€13.92,✭✭✭✭✩ 3.7 327 ratings 5 reviews Brickset review
76100,76100:  Royal Talon Fighter Attack,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$29.99, €34.99 | More",~€50.33,~€36.00,✭✭✭✭✩ 4.0 278 ratings 4 reviews
76101,76101:  Outrider Dropship Attack,3 Mar 2018 - 31 Jul 2019 (1y 4m 28d),"$14.99, €14.99 | More",~€15.20,~€9.26,✭✭✭✭✩ 3.6 584 ratings 13 reviews Brickset review
76102,76102:  Thor's Weapon Quest,3 Mar 2018 - 31 Jul 2019 (1y 4m 28d),"$19.99, €24.99 | More",~€43.23,~€18.33,✭✭✭✭✩ 3.9 705 ratings 13 reviews Brickset review
76103,76103:  Corvus Glaive Thresher Attack,3 Mar 2018 - 31 Dec 2018 (9m 29d),"$39.99, €39.99 | More",~€96.63,~€40.82,✭✭✭✭✩ 3.6 321 ratings 3 reviews Brickset review
76104,76104:  The Hulkbuster Smash-Up,3 Mar 2018 - 31 Dec 2019 (1y 9m 28d),"$29.99, €34.99 | More",~€45.29,~€20.61,✭✭✭✭✩ 4.0 576 ratings 7 reviews Brickset review
76105,76105:  The Hulkbuster: Ultron Edition,3 Mar 2018 - 31 Dec 2019 (1y 9m 28d),"$119.99, €129.99 | More",~€149.30,~€98.45,✭✭✭✭✩ 4.2 258 ratings 1 review Brickset review
76107,76107:  Thanos: Ultimate Battle,3 Mar 2018 - 31 Dec 2019 (1y 9m 28d),"$69.99, €79.99 | More",~€86.06,~€51.22,✭✭✭✭✩ 4.2 583 ratings 6 reviews Brickset review
76108,76108:  Sanctum Sanctorum Showdown,3 Mar 2018 - 31 Dec 2019 (1y 9m 28d),"$99.99, €99.99 | More",~€178.60,~€114.81,✭✭✭✭✭ 4.4 552 ratings 6 reviews
76109,76109:  Quantum Realm Explorers,1 Jun 2018 - 31 Dec 2019 (1y 6m 30d),"$19.99, €24.99 | More",~€33.26,~€26.16,✭✭✭✭✩ 3.9 396 ratings 8 reviews Brickset review
76113,76113:  Spider-Man Bike Rescue,Año no disponible,"$19.99, €24.36 | More",~€54.19,~€10.41,✭✭✭✭✩ 3.5 199 ratings 7 reviews Brickset review
76114,76114:  Spider-Man's Spider Crawler,Año no disponible,"$39.99, €38.98 | More",~€98.11,~€69.10,✭✭✭✭✩ 3.8 177 ratings 2 reviews Brickset review
76115,76115:  Spider Mech vs. Venom,Año no disponible,"$49.99, €48.73 | More",~€94.13,~€23.71,✭✭✭✭✩ 4.0 181 ratings 3 reviews Brickset review
76123,76123:  Captain America: Outriders Attack,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$19.99, €24.36 | More",~€20.80,~€10.01,✭✭✭✩✩ 3.0 291 ratings 3 reviews Brickset review
76124,76124:  War Machine Buster,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$34.99, €34.11 | More",~€46.02,~€26.72,✭✭✭✭✩ 3.8 318 ratings 1 review Brickset review
76125,76125:  Iron Man Hall of Armor,1 Apr 2019 - 31 Dec 2021 (2y 9m),"$59.99, €59.99 | More",~€46.89,~€38.28,✭✭✭✭✩ 4.1 503 ratings 3 reviews Brickset review
76126,76126:  Avengers Ultimate Quinjet,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$79.99, €77.97 | More",~€79.52,~€64.90,✭✭✭✭✩ 4.1 282 ratings 3 reviews
