Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
75956,75956:  Quidditch Match,1 Aug 2018 - 31 Dec 2020 (2y 5m),"$39.99, €38.98 | More",~€55.04,~€33.19,✭✭✭✭✩ 3.9 466 ratings 2 reviews Brickset review
75957,75957:  The Knight Bus,1 Jun 2019 - 31 Dec 2021 (2y 7m),"$39.99, €39.99 | More",~€48.25,~€24.17,✭✭✭✭✩ 4.1 521 ratings 4 reviews Brickset review
75958,75958:  Beauxbatons' Carriage: Arrival at Hogwarts,1 Aug 2019 - 31 Dec 2020 (1y 5m),"$49.99, €48.73 | More",~€55.82,~€43.11,✭✭✭✭✩ 3.9 264 ratings Brickset review
75964,75964:  LEGO Harry Potter Advent Calendar,1 Sep 2019 - 31 Dec 2019 (3m 29d),"$39.99, €24.99 | More",~€30.87,~€18.11,✭✭✭✭✩ 3.9 331 ratings 1 review
75965,75965:  The Rise of Voldemort,1 Aug 2019 - 31 Dec 2020 (1y 5m),"$19.99, €19.49 | More",~€30.09,~€19.89,✭✭✭✭✩ 4.1 560 ratings 8 reviews Brickset review
75966,75966:  Hogwarts Room of Requirement,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),"$19.99, €19.99 | More",~€21.30,~€13.91,✭✭✭✭✩ 3.7 376 ratings 6 reviews Brickset review
75967,75967:  Forbidden Forest: Umbridge's Encounter,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),"$29.99, €29.99 | More",~€28.82,~€20.90,✭✭✭✭✩ 3.7 313 ratings 1 review Brickset review
75968,75968:  4 Privet Drive,1 Jun 2020 - 31 Dec 2023 (3y 6m 29d),"$79.99, €79.99 | More",~€53.04,~€35.61,✭✭✭✭✩ 4.1 395 ratings 5 reviews
75969,75969:  Hogwarts Astronomy Tower,1 Jun 2020 - 31 Jul 2024 (4y 1m 29d),"$99.99, €99.99 | More",~€71.47,~€49.54,✭✭✭✭✩ 4.2 374 ratings 1 review
75978,75978:  Diagon Alley,1 Sep 2020 - {t.b.a},"$449.99, €449.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✭ 4.5 351 ratings 2 reviews Brickset review
75979,75979:  Hedwig,1 Jun 2020 - 31 Dec 2023 (3y 6m 29d),"$39.99, €39.99 | More",~€39.61,~€27.84,✭✭✭✭✩ 4.2 324 ratings 1 review
75980,75980:  Attack on the Burrow,1 Jun 2020 - 31 Dec 2022 (2y 6m 29d),"$99.99, €99.99 | More",~€97.82,~€70.80,✭✭✭✭✭ 4.4 358 ratings 3 reviews
75981,75981:  LEGO Harry Potter Advent Calendar,1 Sep 2020 - 31 Dec 2020 (3m 29d),"$39.99, €29.23 | More",~€18.78,~€17.80,✭✭✭✭✩ 3.8 219 ratings 1 review
76382,76382:  Hogwarts Moment: Transfiguration Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),"$29.99, €29.99 | More",~€24.04,~€16.39,✭✭✭✭✩ 3.8 227 ratings 2 reviews Brickset review
76383,76383:  Hogwarts Moment: Potions Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),"$29.99, €29.99 | More",~€25.29,~€18.27,✭✭✭✭✩ 3.9 212 ratings 1 review Brickset review
76384,76384:  Hogwarts Moment: Herbology Class,1 Jan 2021 - 31 Dec 2021 (11m 29d),"$29.99, €29.99 | More",~€44.39,~€32.85,✭✭✭✭✩ 3.8 196 ratings 1 review Brickset review
76385,76385:  Hogwarts Moment: Charms Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),"$29.99, €29.99 | More",~€27.20,~€21.89,✭✭✭✭✩ 3.7 192 ratings 3 reviews Brickset review
76386,76386:  Hogwarts: Polyjuice Potion Mistake,1 Jun 2021 - 31 Dec 2023 (2y 6m 29d),"$19.99, €19.99 | More",~€17.61,~€12.44,✭✭✭✭✩ 4.0 399 ratings 1 review Brickset review
76387,76387:  Hogwarts: Fluffy Encounter,1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),"$39.99, €39.99 | More",~€57.93,~€41.32,✭✭✭✭✩ 3.5 206 ratings 2 reviews Brickset review
76388,76388:  Hogsmeade Village Visit,1 Jun 2021 - 31 Jul 2024 (3y 1m 29d),"$89.99, €89.99 | More",~€64.56,~€48.95,✭✭✭✭✩ 4.1 301 ratings Brickset review
76389,76389:  Hogwarts Chamber of Secrets,1 Jun 2021 - 31 Dec 2024 (3y 7m),"$149.99, €149.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✩ 4.1 245 ratings 1 review Brickset review
76390,76390:  LEGO Harry Potter Advent Calendar,1 Sep 2021 - 31 Dec 2021 (3m 29d),"$39.99, €29.99 | More",~€24.86,~€13.92,✭✭✭✭✩ 3.7 114 ratings
76391,76391:  Hogwarts Icons - Collectors' Edition,2 Sep 2021 - {t.b.a},"$299.99, €299.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✭ 4.3 117 ratings 4 reviews Brickset review
