,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
63,76021,The Milano Spaceship Rescue,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),2014,74.99,152.72400000000002,139.54600000000002,✭✭✭✭✭ 4.4 326 ratings 5 reviews,103.66,86.09
64,76022,X-Men vs. The Sentinel,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),2014,49.99,109.593,99.418,✭✭✭✭✩ 4.1 262 ratings 4 reviews Brickset review,119.23,98.88
65,76029,Iron Man vs. Ultron,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),2015,12.99,34.01200000000001,17.226000000000003,✭✭✭✭✩ 3.3 362 ratings 5 reviews Brickset review,161.83,32.61
66,76030,Avengers Hydra Showdown,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),2015,19.99,37.565000000000005,16.5,✭✭✭✭✩ 3.5 313 ratings 7 reviews Brickset review,87.92,-17.46
67,76031,The Hulk Buster Smash,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),2015,29.99,79.60700000000001,39.215,✭✭✭✭✩ 4.1 561 ratings 9 reviews,165.45,30.76
68,76032,The Avengers Quinjet City Chase,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),2015,79.99,110.37400000000001,76.24100000000001,✭✭✭✭✩ 4.0 286 ratings 4 reviews,37.98,-4.69
69,76036,Carnage's SHIELD Sky Attack,1 Jun 2015 - 31 Dec 2016 (1y 7m),2015,12.99,35.706,10.879000000000001,✭✭✭✭✩ 3.9 314 ratings 7 reviews Brickset review,174.87,-16.25
70,76037,Rhino and Sandman Super Villain Team-up,1 Jun 2015 - 31 Dec 2016 (1y 7m),2015,39.99,80.74000000000001,40.678,✭✭✭✭✩ 3.7 176 ratings 2 reviews Brickset review,101.9,1.72
71,76038,Attack on Avengers Tower,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),2015,59.99,156.27700000000002,80.63000000000001,✭✭✭✭✩ 4.1 256 ratings 6 reviews,160.51,34.41
72,76039,Ant-Man Final Battle,1 Jun 2015 - 31 Dec 2015 (6m 30d),2015,19.99,69.88300000000001,51.007,✭✭✭✭✩ 4.0 293 ratings 6 reviews,249.59,155.16
73,76041,The Hydra Fortress Smash,1 Mar 2015 - 31 Dec 2015 (10m),2015,49.99,112.61800000000001,84.71100000000001,✭✭✭✭✩ 3.5 131 ratings 4 reviews Brickset review,125.28,69.46
74,76042,The SHIELD Helicarrier,1 Mar 2015 - 31 Dec 2017 (2y 10m 1d),2015,349.99,470.52500000000003,360.99800000000005,✭✭✭✭✭ 4.4 260 ratings 4 reviews Brickset review,34.44,3.15
75,76047,Black Panther Pursuit,1 Mar 2016 - 31 Dec 2017 (1y 10m),2016,29.99,49.973000000000006,15.961,✭✭✭✭✩ 3.8 352 ratings 9 reviews,66.63,-46.78
76,76048,Iron Skull Sub Attack,1 Jan 2016 - 31 Dec 2016 (11m 30d),2016,29.99,60.13700000000001,40.469,✭✭✭✭✩ 3.7 227 ratings 4 reviews,100.52,34.94
77,76049,Avenjet Space Mission,1 Jan 2016 - 31 Dec 2016 (11m 30d),2016,59.99,133.793,82.58800000000001,✭✭✭✭✩ 3.9 210 ratings 4 reviews Brickset review,123.03,37.67
78,76050,Crossbones' Hazard Heist,1 Mar 2016 - 31 Dec 2016 (10m),2016,19.99,28.567,14.872,✭✭✭✭✩ 3.6 376 ratings 8 reviews Brickset review,42.91,-25.6
79,76051,Super Hero Airport Battle,1 Mar 2016 - 31 Dec 2017 (1y 10m),2016,79.99,121.209,126.35700000000001,✭✭✭✭✩ 4.2 396 ratings 10 reviews Brickset review,51.53,57.97
80,76057,Spider-Man: Web Warriors Ultimate Bridge Battle,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),2016,99.99,234.223,188.02300000000002,✭✭✭✭✭ 4.5 336 ratings 4 reviews Brickset review,134.25,88.04
81,76058,Spider-Man: Ghost Rider Team-Up,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),2016,19.99,67.24300000000001,36.311,✭✭✭✭✩ 4.1 408 ratings 11 reviews Brickset review,236.38,81.65
82,76059,Spider-Man: Doc Ock's Tentacle Trap,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),2016,39.99,57.86000000000001,43.351,✭✭✭✭✩ 3.7 169 ratings 2 reviews,44.69,8.4
83,76060,Doctor Strange's Sanctum Sanctorum,1 Aug 2016 - 31 Jul 2017 (11m 29d),2016,29.99,47.344,35.464000000000006,✭✭✭✭✩ 4.1 432 ratings 8 reviews Brickset review,57.87,18.25
84,76064,Mighty Micros: Spider-Man vs. Green Goblin,1 Mar 2016 - 31 Dec 2016 (10m),2016,9.99,14.619,5.7090000000000005,✭✭✭✭✩ 3.3 144 ratings 2 reviews Brickset review,46.34,-42.85
85,76065,Mighty Micros: Captain America vs. Red Skull,1 Mar 2016 - 31 Dec 2016 (10m),2016,9.99,15.312000000000001,7.9750000000000005,✭✭✭✭✩ 3.4 140 ratings 2 reviews,53.27,-20.17
86,76066,Mighty Micros: Hulk vs. Ultron,1 Mar 2016 - 31 Dec 2016 (10m),2016,9.99,23.969,8.294,✭✭✭✭✩ 3.5 142 ratings,139.93,-16.98
87,76067,Tanker Truck Takedown,1 Aug 2016 - 31 Dec 2017 (1y 4m 30d),2016,29.99,83.33600000000001,55.242000000000004,✭✭✭✭✩ 3.9 202 ratings 5 reviews Brickset review,177.88,84.2
88,76071,Mighty Micros: Spider-Man vs. Scorpion,1 Jan 2017 - 31 Dec 2017 (11m 29d),2017,9.99,25.630000000000003,9.141000000000002,✭✭✭✭✩ 3.4 90 ratings,156.56,-8.5
89,76072,Mighty Micros: Iron Man vs. Thanos,1 Jan 2017 - 31 Dec 2017 (11m 29d),2017,9.99,22.374000000000002,11.759,✭✭✭✭✩ 3.9 172 ratings 2 reviews Brickset review,123.96,17.71
