,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
87,75964,LEGO Harry Potter Advent Calendar,1 Sep 2019 - 31 Dec 2019 (3m 29d),2019,39.99,33.957,19.921,✭✭✭✭✩ 3.9 331 ratings 1 review,-15.09,-50.19
88,75965,The Rise of Voldemort,1 Aug 2019 - 31 Dec 2020 (1y 5m),2019,19.99,33.099000000000004,21.879,✭✭✭✭✩ 4.1 560 ratings 8 reviews Brickset review,65.58,9.45
89,75966,Hogwarts Room of Requirement,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),2020,19.99,23.430000000000003,15.301000000000002,✭✭✭✭✩ 3.7 376 ratings 6 reviews Brickset review,17.21,-23.46
90,75967,Forbidden Forest: Umbridge's Encounter,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),2020,29.99,31.702,22.990000000000002,✭✭✭✭✩ 3.7 313 ratings 1 review Brickset review,5.71,-23.34
91,75968,4 Privet Drive,1 Jun 2020 - 31 Dec 2023 (3y 6m 29d),2020,79.99,58.344,39.171,✭✭✭✭✩ 4.1 395 ratings 5 reviews,-27.06,-51.03
92,75969,Hogwarts Astronomy Tower,1 Jun 2020 - 31 Jul 2024 (4y 1m 29d),2020,99.99,78.617,54.49400000000001,✭✭✭✭✩ 4.2 374 ratings 1 review,-21.38,-45.5
93,75978,Diagon Alley,1 Sep 2020 - {t.b.a},2020,449.99,,,✭✭✭✭✭ 4.5 351 ratings 2 reviews Brickset review,,
94,75979,Hedwig,1 Jun 2020 - 31 Dec 2023 (3y 6m 29d),2020,39.99,43.571000000000005,30.624000000000002,✭✭✭✭✩ 4.2 324 ratings 1 review,8.95,-23.42
95,75980,Attack on the Burrow,1 Jun 2020 - 31 Dec 2022 (2y 6m 29d),2020,99.99,107.602,77.88000000000001,✭✭✭✭✭ 4.4 358 ratings 3 reviews,7.61,-22.11
96,75981,LEGO Harry Potter Advent Calendar,1 Sep 2020 - 31 Dec 2020 (3m 29d),2020,39.99,20.658,19.580000000000002,✭✭✭✭✩ 3.8 219 ratings 1 review,-48.34,-51.04
97,76382,Hogwarts Moment: Transfiguration Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),2021,29.99,26.444000000000003,18.029000000000003,✭✭✭✭✩ 3.8 227 ratings 2 reviews Brickset review,-11.82,-39.88
