SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"7577","8093","1","2010","Normal","Star Wars","Licensed","The Clone Wars","Plo Koon's Jedi Starfighter","X","8093-1","24.99","25.99","34.99","","30/07/2010 00:00:00","15/12/2011 00:00:00","175","2","Box","{Not specified}","4567489","4560227","","673419129091","28.19","26.19","6.4","0.3","7","12","14894","4680","2","11","X","77","162.9100","50.3300","Jan Neergaard Olesen,","01/06/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7578","8095","1","2010","Normal","Star Wars","Licensed","The Clone Wars","General Grievous' Starfighter","X","8095-1","49.99","45.99","69.99","","30/07/2010 00:00:00","15/04/2012 00:00:00","454","3","Box","Retail","4567490","4559585","","673419129107","48.01","28.19","6.1","0.78","8","14","12332","4890","2","15","X","92","137.7600","56.0000","","01/06/2010 00:00:00","31/07/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7579","8096","1","2010","Normal","Star Wars","Licensed","Episode III","Emperor Palpatine's Shuttle","X","8096-1","59.99","61.99","79.99","","30/07/2010 00:00:00","10/12/2011 00:00:00","592","4","Box","{Not specified}","4567491","4559586","5702014601338","673419129114","54","28.19","5.89","1.1","9","14","9456","5444","4","13","X","85","177.7400","61.4000","","01/06/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7580","8097","1","2010","Normal","Star Wars","Licensed","Episode V","Slave I","X","8097-1","79.99","81.99","109.99","","30/07/2010 00:00:00","26/11/2011 00:00:00","573","3","Box","{Not specified}","4567493","4559587","5702014601345","673419129121","48.01","37.8","7.06","1.06","9","14","12285","6022","4","11","X","128","145.0400","85.5900","","01/06/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7581","8098","1","2010","Normal","Star Wars","Licensed","The Clone Wars","Clone Turbo Tank","X","8098-1","119.99","102.99","159.99","","30/07/2010 00:00:00","11/04/2012 00:00:00","1141","6","Box","{Not specified}","4567494","4559588","5702014601352","673419129138","58.19","37.8","8.71","1.88","9","14","8440","6119","4","15","X","69","376.8900","195.4500","Adam Grabowski,","01/06/2010 00:00:00","31/07/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7642","8099","1","2010","Normal","Star Wars","Licensed","Episode IV","Midi-scale Imperial Star Destroyer","X","8099-1","39.99","34.99","49.99","","02/08/2010 00:00:00","11/01/2011 00:00:00","423","","Box","Retail","4567495","4561518","5702014601369","673419129145","38.2","26.2","5.7","","9","14","4956","3579","2","6","X","42","124.7800","46.9300","Jan Neergaard Olesen,","01/08/2010 00:00:00","31/12/2010 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7721","8128","1","2010","Normal","Star Wars","Licensed","The Clone Wars","Cad Bane's Speeder","X","8128-1","49.99","45.99","64.99","","02/08/2010 00:00:00","29/03/2012 00:00:00","318","5","Box","Retail","4567496","4559589","5702014601376","673419129152","48","28.2","6.1","","7","12","6744","5067","2","11","X","87","121.0300","95.3100","","01/08/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7645","8129","1","2010","Normal","Star Wars","Licensed","Episode V","AT-AT Walker","X","8129-1","109.99","91.99","139.99","","02/08/2010 00:00:00","02/12/2011 00:00:00","815","8","Box","Retail","4567497","4559590","5702014601383","","58.2","37.8","8.7","","9","14","5697","6288","4","13","X","44","214.2200","105.2400","Adam Grabowski,","01/08/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8883","9488","1","2012","Normal","Star Wars","Licensed","The Clone Wars","Elite Clone Trooper & Commando Droid Battle Pack","X","9488-1","12.99","11.99","15.99","","02/02/2012 00:00:00","21/12/2013 00:00:00","98","4","Box","Retail","4654158","4654157","5702014840409","673419167567","19.1","14.1","4.6","0.11","6","12","20765","4364","2","7","X","106","106.6200","55.8100","","01/01/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"8885","9489","1","2012","Normal","Star Wars","Licensed","Episode VI","Endor Rebel Trooper & Imperial Trooper Battle Pack","X","9489-1","12.99","11.99","15.99","","02/02/2012 00:00:00","05/11/2013 00:00:00","77","4","Box","Retail","4654160","4654159","5702014840416","673419167574","19.1","14.1","4.6","0.11","6","12","18539","4089","2","6","X","54","38.9500","19.7200","","01/01/2012 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
